record_id,test_date,sample_type,sample_alias,lot_no,product_group,metric_a,metric_b,metric_c,thickness,density,test_result,plot_group,comment
2001,2026-05-01,通常品,試料A,T260501-01,製品群I,0.034,0.92,2.5,50,80,合格,製品群I標準,低負荷条件
2002,2026-05-02,通常品,試料A,T260502-01,製品群I,0.035,0.68,2.6,50,80,合格,製品群I標準,下振れ
2003,2026-05-03,通常品,試料A,T260503-01,製品群I,0.036,1.08,2.8,50,81,合格,製品群I標準,標準範囲
2004,2026-05-04,通常品,試料A,T260504-01,製品群I,0.037,0.96,3.0,50,81,合格,製品群I標準,標準範囲
2005,2026-05-05,通常品,試料A,T260505-01,製品群I,0.038,1.34,3.1,50,82,合格,製品群I標準,上振れ
2006,2026-05-06,通常品,試料A,T260506-01,製品群I,0.039,1.18,3.3,50,82,合格,製品群I標準,やや上昇
2007,2026-05-07,実験品,試料A-実験,T260507-EX,製品群I,0.040,1.72,3.5,50,85,要確認,製品群I実験,追加測定対象
2008,2026-05-08,実験品,試料A-実験,T260508-EX,製品群I,0.041,1.46,3.8,50,85,要確認,製品群I実験,ばらつき確認
2009,2026-05-09,通常品,試料B,T260509-01,製品群II,0.033,0.74,2.4,75,96,合格,製品群II標準,良好
2010,2026-05-10,通常品,試料B,T260510-01,製品群II,0.034,0.55,2.6,75,96,合格,製品群II標準,下振れ
2011,2026-05-11,通常品,試料B,T260511-01,製品群II,0.035,1.02,2.7,75,97,合格,製品群II標準,標準範囲
2012,2026-05-12,通常品,試料B,T260512-01,製品群II,0.036,0.86,2.9,75,97,合格,製品群II標準,規格内
2013,2026-05-13,通常品,試料B,T260513-01,製品群II,0.037,1.28,3.0,75,98,合格,製品群II標準,上振れ
2014,2026-05-14,実験品,試料B-実験,T260514-EX,製品群II,0.038,1.03,3.2,75,98,合格,製品群II実験,試作条件継続
2015,2026-05-15,実験品,試料B-実験,T260515-EX,製品群II,0.039,1.64,3.4,75,99,要確認,製品群II実験,追加確認対象
2016,2026-05-16,通常品,試料C,T260516-01,製品群III,0.038,1.58,3.2,25,64,合格,製品群III標準,上振れ
2017,2026-05-17,通常品,試料C,T260517-01,製品群III,0.039,1.33,3.4,25,64,合格,製品群III標準,標準範囲
2018,2026-05-18,通常品,試料C,T260518-01,製品群III,0.040,1.82,3.5,25,65,合格,製品群III標準,ばらつき確認
2019,2026-05-19,通常品,試料C,T260519-01,製品群III,0.041,1.61,3.8,25,65,要確認,製品群III標準,追加確認対象
2020,2026-05-20,通常品,試料C,T260520-01,製品群III,0.042,2.28,3.9,25,66,要確認,製品群III標準,上振れ
2021,2026-05-21,実験品,試料C-実験,T260521-EX,製品群III,0.043,1.96,4.1,25,66,要確認,製品群III実験,傾向確認
2022,2026-05-22,通常品,試料C,T260522-01,製品群III,0.044,2.62,4.2,25,66,不合格,製品群III標準,上限超過
2023,2026-05-23,実験品,試料C-実験,T260523-EX,製品群III,0.045,2.34,4.5,25,67,不合格,製品群III実験,条件見直し
2024,2026-05-24,実験品,試料C-実験,T260524-EX,製品群III,0.046,3.05,4.9,25,67,不合格,製品群III実験,試作条件停止候補
